term,s,c1,c2
xi4,240.0,2.228671417364858e-08,7.174068325905941e-10
xi4,250.0,9.344113116106846e-07,6.793936148399771e-10
xi4,260.0,4.4243813582304433e-07,7.624239218336097e-10
xi4,270.0,7.426890114674567e-09,2.465689732255113e-10
xi4,280.0,1.7324136809681144e-07,9.315489590743576e-12
xi4,290.0,1.3395266705940567e-07,1.6471882137957252e-10
xi4,300.0,7.887782381118324e-08,9.198491238998408e-10
xi4,310.0,1.3730161918555883e-07,4.346401389603183e-10
xi4,320.0,7.790253414299402e-07,2.6943416096588126e-11
xi4,330.0,5.453331246276112e-07,8.738150276278688e-10
xi4,340.0,7.755677947256822e-08,9.445340743426723e-11
xi4,350.0,5.258329253958777e-07,5.43479130512368e-10
xi4,360.0,7.357287508001249e-07,6.224817767115746e-10
xi4,370.0,8.806012407599352e-07,6.048781417981152e-10
xi4,380.0,9.922968502784655e-07,5.640150258212821e-10
xi4,390.0,5.405982934431419e-07,4.985899549607558e-10
xi4,400.0,5.934949438315139e-07,7.536239794749622e-10
