term,s,c1,c2
xi2,80.0,9.657730690385042e-06,2.1685060370281007e-09
xi2,90.0,2.8559662384116427e-06,5.19225152923476e-10
xi2,100.0,8.190174300774722e-06,5.9827464979444404e-09
xi2,110.0,7.462300888264747e-06,9.839278831871823e-10
xi2,120.0,3.7538022632438974e-06,4.199318125632451e-09
xi2,130.0,6.26361976146571e-06,1.8372848993034951e-09
xi2,140.0,7.029998320188396e-06,6.772773976731139e-10
xi2,150.0,1.0568298166458469e-06,7.0085829648283824e-09
xi2,160.0,8.323062955186692e-06,8.073458587095982e-09
xi2,170.0,8.843473650290537e-06,3.645308426892394e-09
xi2,180.0,9.560656752493553e-06,8.971710657342467e-09
xi2,190.0,3.838850999821203e-06,6.102015775680496e-09
xi2,200.0,7.405419873352913e-06,3.4635766697462913e-09
xi2,210.0,9.872337100053246e-06,8.063712304757952e-09
xi2,220.0,8.962264605390479e-06,3.4459105927317256e-09
xi2,230.0,6.482801299921666e-07,8.816271270273072e-10
xi2,240.0,5.043601741340568e-07,1.4746568969588916e-10
xi2,250.0,7.609134059420695e-07,1.5701591189386733e-10
xi2,260.0,4.0681956557317554e-07,4.292455497964071e-10
xi2,270.0,4.557707392040276e-07,8.311342734694995e-10
xi2,280.0,8.581216425342404e-07,5.656197956942092e-10
xi2,290.0,4.798746102416586e-07,6.691095939880021e-10
xi2,300.0,2.2898431026887477e-07,3.616650128630188e-10
xi2,310.0,6.188041788401046e-07,1.0609995886230029e-10
xi2,320.0,7.665654965353624e-07,6.165385652130821e-10
xi2,330.0,1.4407662429291356e-07,7.546623126176065e-10
xi2,340.0,8.410042489263221e-07,3.3388494106317345e-10
xi2,350.0,3.428383975753095e-07,2.659616073775567e-10
xi2,360.0,6.667514305897352e-07,4.075769230217443e-10
xi2,370.0,7.193342440720933e-07,2.952214824107147e-11
xi2,380.0,1.0898382187962596e-07,8.687550254131246e-10
xi2,390.0,7.396943330666761e-09,6.177992328787538e-10
xi2,400.0,9.183537127972046e-07,2.9363894366740706e-10
xi4,50.0,6.232576166346418e-07,8.438539179339305e-10
xi4,60.0,6.792808656752991e-08,5.301672666472132e-10
xi4,70.0,7.353364779047207e-07,4.5012652832664617e-10
xi4,80.0,4.6075437228078164e-08,1.1723628864980918e-10
xi4,90.0,6.231781435860169e-07,2.4046022832374114e-10
xi4,100.0,9.711716222340904e-07,4.0871008247919096e-10
xi4,110.0,2.720341500799599e-07,9.418392961410861e-10
xi4,120.0,9.751965734912517e-07,9.682964503729455e-10
xi4,130.0,4.2353805763672847e-07,8.012282733776194e-10
xi4,140.0,8.126119217168936e-07,7.507297410467097e-10
xi4,150.0,8.220535253269643e-07,6.913531488177715e-10
xi4,160.0,2.438807054147076e-07,3.400288655278284e-10
xi4,170.0,8.818543740519556e-07,2.2260445667095054e-10
xi4,180.0,4.037469634519388e-07,4.747293814517695e-10
xi4,190.0,4.032718029983405e-07,8.399565757299288e-10
xi4,200.0,5.048338090956723e-07,3.83380259117756e-10
xi4,210.0,2.1612038227623254e-08,4.920214373807034e-10
xi4,220.0,1.0866885116980895e-07,1.0659182062734264e-10
xi4,230.0,9.822831366219944e-07,7.192884685366315e-10
xi4,240.0,4.2593343725578577e-07,5.521056267715016e-10
xi4,250.0,8.355309809506858e-07,9.450101177865767e-10
xi4,260.0,5.968191835832061e-07,9.581905714164234e-10
xi4,270.0,5.846467423220105e-07,5.907039613390278e-10
xi4,280.0,9.87623375049211e-07,6.646589298440692e-10
xi4,290.0,8.405052548086621e-07,6.68399599570447e-10
xi4,300.0,5.802314086574684e-07,7.042333391424799e-10
xi4,310.0,9.072807374929617e-07,7.860052436011775e-10
xi4,320.0,4.3484306997798637e-07,7.910602956471027e-10
xi4,330.0,8.828631576327621e-07,6.1795009912346e-10
xi4,340.0,4.3988420575946885e-07,7.730848937398801e-10
xi4,350.0,2.502516867937997e-07,1.4821280963573825e-10
xi4,360.0,7.849201054474256e-07,5.854619353121475e-10
xi4,370.0,8.688089249122104e-07,6.961109760501671e-10
xi4,380.0,3.3249061968955147e-07,1.6730565619914362e-10
xi4,390.0,6.069456106590086e-07,7.078263093423476e-10
xi4,400.0,4.869223506941762e-07,9.371013877127122e-11
